City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,adiake,5.2863,-3.304,23.71,97,100,2.53,CI,1697141594
170,prince rupert,54.3161,-130.3201,16.05,61,100,16.46,CA,1697141594
171,nadi,-17.8,177.4167,23.0,83,75,2.06,FJ,1697141351
172,nouadhibou,20.931,-17.0347,26.99,50,100,5.66,MR,1697141594
173,saldanha,-33.0117,17.9442,14.89,81,53,6.73,ZA,1697141594
174,tofol,5.3248,163.0078,28.3,75,35,3.5,FM,1697141594
175,cortez,37.3489,-108.5859,12.8,29,75,5.14,US,1697141595
176,longyearbyen,78.2186,15.6401,-2.09,64,40,5.14,SJ,1697141595
177,kodiak,57.79,-152.4072,3.73,65,100,6.69,US,1697141595
178,luanda,-8.8368,13.2343,25.0,78,0,4.63,AO,1697141460
179,ulsteinvik,62.3432,5.8487,8.51,75,100,4.92,NO,1697141416
180,auburn,47.3073,-122.2284,19.26,80,75,2.06,US,1697141303
181,katsuura,35.1333,140.3,18.01,65,8,5.04,JP,1697141463
182,namtsy,62.7161,129.6658,2.8,77,100,3.69,RU,1697141595
183,ketchikan,55.3422,-131.6461,13.99,76,100,6.69,US,1697141595
184,lebu,-37.6167,-73.65,11.41,70,0,9.93,CL,1697141595
185,rongelap,11.1635,166.8941,28.2,77,46,4.47,MH,1697141595
186,kyabe,9.4515,18.9449,25.14,80,32,1.21,TD,1697141595
187,arkalyk,50.2486,66.9114,4.05,51,0,2.44,KZ,1697141596
188,abadan,30.3392,48.3043,30.13,46,4,3.34,IR,1697141596
189,midvagur,62.0511,-7.1939,6.46,81,75,6.17,FO,1697141596
190,wailua homesteads,22.0669,-159.378,28.19,65,40,5.14,US,1697141596
191,olyokminsk,60.3736,120.4264,7.22,87,100,4.92,RU,1697141596
192,ust'-ilimsk,58.0006,102.6619,4.13,75,100,3.13,RU,1697141538
193,tucurui,-3.7661,-49.6725,36.79,29,99,1.49,BR,1697141596
194,fort st. john,56.2499,-120.8529,12.94,62,20,4.12,CA,1697141596
195,callao,-12.0667,-77.15,20.16,73,75,3.6,PE,1697141596
196,klyuchi,52.2667,79.1667,6.95,82,100,2.96,RU,1697141596
197,dudinka,69.4058,86.1778,1.49,93,97,6.71,RU,1697141597
198,lubang,13.8584,120.124,28.43,77,63,6.51,PH,1697141597
199,taoudenni,22.6783,-3.9836,31.82,12,0,4.78,ML,1697141597
200,yuzhno-kurilsk,44.0306,145.8556,12.99,70,0,2.45,RU,1697141597
201,suva,-18.1416,178.4415,21.71,94,75,1.03,FJ,1697141597
202,turpan,42.9333,89.1667,21.28,21,0,1.09,CN,1697141597
203,huaquillas,-3.4833,-80.2333,29.94,61,20,5.14,EC,1697141345
204,badger,64.8,-147.5333,-1.83,80,100,1.54,US,1697141597
205,mount gambier,-37.8333,140.7667,11.83,84,100,4.7,AU,1697141597
206,rikaze,29.25,88.8833,5.06,58,55,0.39,CN,1697141597
207,nagqu,31.5,92.0,-4.71,25,7,1.01,CN,1697141597
208,vila velha,-20.3297,-40.2925,26.97,77,0,9.26,BR,1697141597
209,yomju-up,39.8933,124.5981,14.56,62,100,1.23,KP,1697141598
210,port macquarie,-31.4333,152.9167,15.94,59,48,4.11,AU,1697141598
211,aktobe,50.2797,57.2072,2.05,80,0,5.0,KZ,1697141598
212,haiku-pauwela,20.9219,-156.3051,28.43,65,20,8.75,US,1697141598
213,malango,-2.9627,119.9001,18.21,93,97,0.69,ID,1697141598
214,angaur state,6.906,134.13,28.35,77,63,7.39,PW,1697141598
215,laguna,38.421,-121.4238,25.19,36,0,4.63,US,1697141598
216,atafu village,-8.5421,-172.5159,28.53,77,5,6.13,TK,1697141579
217,mitchell,43.7094,-98.0298,8.74,93,100,12.86,US,1697141383
218,labuan,5.2767,115.2417,27.58,79,44,2.5,MY,1697141598
219,ashland,40.8167,-82.2665,19.37,84,96,3.41,US,1697141598
220,lampasas,31.2168,-98.2336,29.6,57,0,4.63,US,1697141598
221,namibe,-15.1961,12.1522,19.77,79,7,2.07,AO,1697141599
222,baijiantan,45.6333,85.1833,17.41,32,12,2.16,CN,1697141599
223,miyako,39.6367,141.9525,11.47,76,4,3.01,JP,1697141599
224,mossel bay,-34.1831,22.146,15.96,88,33,8.27,ZA,1697141599
225,cam ranh,11.9214,109.1591,25.98,89,20,2.06,VN,1697141599
226,hammerfest,70.6634,23.6821,2.25,87,75,5.14,NO,1697141599
227,kurlovo,55.4325,40.4854,10.98,84,100,6.48,RU,1697141599
228,stanley,54.868,-1.6985,7.1,87,0,2.57,GB,1697141599
229,geraldton,-28.7667,114.6,23.23,23,100,5.66,AU,1697141578
230,la foa,-21.7108,165.8276,19.56,75,3,1.45,NC,1697141600
231,coquimbo,-29.9533,-71.3436,18.01,61,0,4.08,CL,1697141411
232,eyl,7.9803,49.8164,26.93,81,8,2.83,SO,1697141600
233,kingston,17.997,-76.7936,32.91,69,94,3.13,JM,1697141475
234,hassi messaoud,31.6804,6.0729,26.92,28,0,3.09,DZ,1697141600
235,kovalam,8.3667,76.9967,26.05,89,40,1.54,IN,1697141600
236,anadyr,64.75,177.4833,5.28,93,75,10.0,RU,1697141600
237,college,64.8569,-147.8028,-1.78,81,100,1.54,US,1697141585
238,guerrero negro,27.9769,-114.0611,22.2,55,2,6.91,MX,1697141600
239,nova vicosa,-17.8919,-39.3719,25.47,71,10,6.33,BR,1697141600
240,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,73,75,6.71,RU,1697141600
241,mangai,-4.05,19.5333,25.47,60,62,0.71,CD,1697141600
242,selkirk,50.1436,-96.8845,14.49,62,72,3.58,CA,1697141601
243,kankauli,16.2667,73.7,25.55,87,78,1.35,IN,1697141601
244,posse,-14.0931,-46.3694,35.69,18,2,1.98,BR,1697141601
245,kijang,35.2442,129.2139,17.1,68,100,2.79,KR,1697141465
246,el charco,2.4769,-78.1105,28.27,80,98,2.97,CO,1697141601
247,tamanrasset,22.785,5.5228,22.95,28,40,4.12,DZ,1697141601
248,mesa,33.4223,-111.8226,31.21,14,0,4.12,US,1697141601
249,hasaki,35.7333,140.8333,14.22,49,3,5.53,JP,1697141601
250,krasavino,60.9614,46.4814,5.77,87,95,6.36,RU,1697141602
251,katsuren-haebaru,26.3369,127.8719,24.01,78,6,4.75,JP,1697141602
252,baruun-urt,46.6806,113.2792,4.58,57,0,2.64,MN,1697141602
253,salalah,17.0151,54.0924,27.05,74,0,1.03,OM,1697141602
254,baihe,22.15,107.2333,18.84,96,42,0.83,CN,1697141602
255,usinsk,65.9939,57.5281,-1.07,98,100,2.24,RU,1697141602
256,essaouira,31.5125,-9.77,23.72,46,0,1.54,MA,1697141602
257,afaahiti,-17.75,-149.2833,27.93,78,64,5.92,PF,1697141480
258,matoury,4.8483,-52.3317,30.98,62,0,7.2,GF,1697141603
259,formosa,-26.1775,-58.1781,18.99,59,0,7.2,AR,1697141355
260,tidjikja,18.5564,-11.4271,32.68,19,15,2.29,MR,1697141603
261,veszto,46.9167,21.2667,16.32,50,46,3.13,HU,1697141603
262,balcarce,-37.8462,-58.2552,16.01,38,16,1.34,AR,1697141603
263,mar del plata,-38.0023,-57.5575,13.62,61,0,4.63,AR,1697141059
264,al qurayn,30.6162,31.7351,23.05,65,0,2.52,EG,1697141603
265,quelimane,-17.8786,36.8883,24.97,94,0,6.17,MZ,1697141603
266,grove city,39.8815,-83.093,26.34,48,40,2.06,US,1697141324
267,chui,-33.6971,-53.4616,10.84,56,1,5.64,UY,1697141604
268,maseru,-29.3167,27.4833,13.38,88,88,0.68,LS,1697141477
269,igrim,63.1906,64.4162,2.79,85,100,5.81,RU,1697141604
270,hithadhoo,-0.6,73.0833,27.4,72,89,5.37,MV,1697141604
271,raja,8.4596,25.678,23.79,79,16,1.81,SS,1697141604
272,nahiyat ash shinafiyah,31.5874,44.6602,31.62,24,85,4.31,IQ,1697141604
273,kanniyakumari,8.0833,77.5667,26.44,84,100,3.98,IN,1697141604
274,tataouine,32.9297,10.4518,21.37,58,0,1.8,TN,1697141604
275,saipan,15.1355,145.701,28.39,94,100,6.69,MP,1697141604
276,klaksvik,62.2266,-6.589,6.51,72,18,10.26,FO,1697141561
277,roccella ionica,38.322,16.4009,21.23,77,0,2.46,IT,1697141604
278,al ghayzah,16.2079,52.176,26.33,79,1,2.6,YE,1697141604
279,dossor,47.5272,52.9811,8.83,65,2,3.6,KZ,1697141605
280,vilyuchinsk,52.9306,158.4028,3.85,82,100,2.17,RU,1697141552
